用户名,国家,关注者数,关注中,所属组织数量,Star 数,Fork 数,PushEvent,PullRequestEvent,IssuesEvent,参与过的仓库数量
anttih,"Helsinki, Finland",63,36,0,356,55,34,19,5,20
vintrepid,"Lotus, CA",8,3,0,490,563,0,0,0,0
bigfleet,"Charlotte, NC",110,26,2,662,305,3,0,2,3
lypanov,"Voorburg, Netherlands",13,0,0,39,14,0,1,0,11
ropiku,"London, UK",63,45,0,124,86,0,0,0,0
rds,UK,10,0,0,18,7,0,0,0,0
zmoazeni,"Rapid City, MI",138,48,1,3464,285,0,0,0,0
edwinmoss,Utah,14,1,0,68,66,0,0,0,0
tomfarm,"Koblenz, Germany",27,32,0,0,1,11,4,2,2
TheNicholasNick,New Zealand,20,0,0,45,20,11,2,1,5
bumi,,480,553,3,1405,511,68,25,13,23
dag,Sweden,101,30,1,3534,605,0,0,0,0
ruckus,"San Francisco, CA.",66,20,0,2037,594,0,0,0,1
mlins,"Madison, WI",17,3,0,100,35,5,0,0,1
luke,,0,0,0,3,0,0,0,0,0
labria,,60,8,2,109,34,4,0,0,1
raymorgan,,10,0,0,7,3,0,0,0,0
edward,"Ottawa, Ontario, Canada",334,79,2,220,56,0,0,0,1
dsiem,Germany,12,3,0,4,3,0,0,0,0
talaris,"WA, USA",41,20,3,13,6,0,0,0,1
jrun,"Milwaukee, WI",30,6,0,70,53,0,0,0,0
chris,"Bend, OR",71,2,0,585,85,0,0,0,1
thejohnny,,24,4,0,30,9,5,7,0,10
vic,Mexico City,472,1018,24,3420,481,0,0,0,1
thelibrarian,,9,3,0,5,2,0,0,1,4
harukizaemon,"Melbourne, Victoria, Australia",91,2,0,42,13,0,0,0,0
ttcremers,Monster,21,6,0,15,3,0,0,0,0
bitbckt,"Maine, United States",56,12,0,23,3,0,0,0,0
brupm,"Miami, Florida",65,23,1,51,0,0,0,0,5
v3rb0,,7,5,0,1,0,0,0,0,0
hchoroomi,,60,48,0,158,51,0,0,0,33
igouss,"Montreal, QC",25,14,0,19,11,0,0,0,0
jamesmacaulay,Toronto,154,0,0,1115,83,0,0,0,0
jacobeus,Dubai UAE,23,0,1,45,6,0,0,0,0
djd,CA,11,0,0,0,0,34,0,0,3
octave,"Portland, OR",18,5,1,0,1,0,0,2,2
damon,"Austin, TX",136,94,2,32,8,0,0,0,0
sbusso,Nelson (New Zealand),189,153,1,546,73,33,5,0,250
tobi,"Ottawa, Canada",2292,54,1,71243,11151,9,0,1,20
raggi,California or Bermuda,812,249,7,13758,894,63,37,6,34
tooky,"Hampshire, United Kingdom",53,23,1,173,77,7,5,0,5
aurelian,,44,8,0,316,35,4,0,0,5
cnantais,,8,3,0,0,0,0,0,0,0
gthoppae,"La Sarraz, Switzerland",13,17,0,0,0,0,0,0,0
lukemelia,NYC,240,8,4,7885,1740,115,41,1,6
ncdc,Maryland,233,37,3,17210,2455,5,4,0,7
bendik,⚓️,50,87,0,1,0,0,0,0,5
sbraford,"Portland, OR",23,15,0,20,11,6,0,0,6
mpalmer,,101,0,0,1361,284,3,1,1,6
jens,Stockholm / Sweden,13,1,1,1,2,0,0,0,0
moneyspyder,London,3,0,0,12,15,0,0,0,0
tslocke,UK,76,1,1,504,157,0,0,1,4
jellybob,"Southampton, UK",53,6,1,171,73,0,0,0,0
mascarenhas,"Montreal, Canada",111,13,2,996,176,9,2,0,4
pius,"San Francisco, CA",79,42,0,174,61,0,0,0,2
nullstyle,The West Side,164,13,0,8866,820,0,0,0,15
guillaume,Quebec,29,10,0,90,4,0,0,0,0
samaaron,"Sheffield, UK",1806,30,6,11275,1147,77,0,1,6
endersonmaia,"Arapiraca, Alagoas, Brazil",117,48,0,735,306,85,41,2,9
flowers,"Sevilla, Spain",12,0,0,6,2,0,0,0,0
adamlogic,"Columbus, Ohio",94,0,1,14990,2867,18,11,5,6
alx,Southeast Asia,207,93,2,3250,740,157,3,6,29
sproutit,"Los Altos, CA",5,0,0,968,148,0,0,0,0
augustl,"Oslo, Norway",200,0,1,2720,345,9,0,0,2
eb1024,,6,0,0,1,0,0,0,0,0
tpope,"Brooklyn, NY",21666,20,1,112104,6475,27,9,30,25
methodmissing,"Funchal, Madeira, Portugal",342,182,3,3451,666,0,0,0,1
mariusz,Berlin,62,3,0,96,21,0,0,0,0
palmamartin,,32,90,0,27,0,2,0,0,3
garyblessington,"Portland, OR",18,0,0,524,112,0,0,0,0
kangax,New York,3331,16,6,53780,7139,0,0,0,0
sd,New York City,183,0,1,153,50,110,25,17,17
drew,"San Diego, CA",36,6,0,0,0,0,0,0,0
brainopia,"Saint-Petersburg, Russia",187,19,1,1840,244,0,0,0,0
wvl,Ottawa,31,11,0,81,15,0,0,0,0
therealadam,"Portland, OR",234,185,0,778,167,1,0,0,41
therubymug,"Portland, Oregon",121,10,0,351,62,0,0,0,0
chrisgriffin,"Los Angeles, CA",36,28,0,0,0,0,0,0,0
jasonherald,"Christiansburg, VA",18,10,0,3,0,8,0,0,2
bruno,"NSW, Australia",73,79,3,32,39,0,0,0,0
revans,"Great Outdoors, Idaho",110,21,1,121,33,2,0,0,8
jameshill,"Sydney, Australia",40,28,1,0,1,16,12,0,3
trankas,,10,15,0,3,0,0,0,0,0
crafterm,"Melbourne, Australia",188,107,1,675,181,0,0,0,0
mattallen,Australia,35,0,0,65,16,0,0,0,0
dgoodlad,"Melbourne, Australia",122,7,0,8706,883,0,0,1,1
esaul,,13,0,0,3,0,0,0,0,0
trevorturk,Chicago,345,189,0,1777,199,0,1,11,61
svrishi,,10,0,0,2,0,0,0,0,0
rtomayko,,2367,100,0,13170,1811,0,0,0,0
timburks,"Los Altos, CA",701,119,4,3262,563,112,0,0,29
gaveen,Sri Lanka,39,19,1,77,7,54,3,0,33
waqas,"Lahore, Pakistan",16,0,0,0,0,0,0,0,0
dpetersen,"Bend, OR",35,1,0,28,9,0,0,0,0
antonithock,Poland,19,1,0,0,0,0,0,0,0
fivethreeo,"Levanger, Norway",75,30,0,11227,934,8,0,0,3
tandibar,"Remscheid, Germany",39,25,2,81,45,3,1,0,4
cmer,"Frisco, DFW, TX",140,34,0,1883,403,0,0,4,8
trotter,"Santa Monica, CA",165,0,2,647,165,0,0,0,0
dudleyf,,37,3,1,652,178,0,0,0,0
kevinansfield,"Tunbridge Wells, UK",155,0,1,22347,3665,92,76,4,6
luigi,"Atlanta, GA",131,28,1,349,144,0,0,0,6
gotascii,"San Francisco, CA",43,10,0,144,13,0,0,0,3
rozza,United Kingdom,320,23,2,1428,629,68,31,0,16
frankbolero,Sweden,43,69,0,0,0,2,0,0,11
shadowmaru,"Berlin, DE",166,19,1,256,68,0,0,0,0
antunderwood,"Watford, UK",49,4,0,157,69,0,0,0,1
dfugere,Montreal,28,28,0,7,0,0,0,0,0
james,London,183,37,1,166,61,23,14,3,7
xraid,,9,2,0,9,1,0,0,0,0
wijet,"Łódź, Poland",36,15,1,152,28,0,0,0,0
parabuzzle,"Port Orange, FL",0,0,0,269,73,0,0,0,0
damienmckenna,"NH, USA",43,0,0,60,31,0,0,3,8
nz,"Austin, TX",63,37,2,205,42,1,0,0,7
tynino,,10,1,0,0,2,0,0,0,0
allan,ch,10,5,0,34,5,0,0,0,0
bscofield,"Durham, NC",94,12,0,228,49,1,0,0,5
tkofol,"Boston, MA",6,1,0,7,2,0,0,0,0
trey,"Vermont, USA",156,180,1,181,28,142,0,0,27
jimmy,"San Francisco, CA",49,2,0,29,9,0,0,0,0
foca,,374,96,2,1430,364,5,2,3,12
mathie,"Teignmouth, United Kingdom",84,35,1,123,52,0,0,0,0
jarkko,"Kangasala, Finland",27,0,1,74,15,0,0,0,0
norbert,,86,61,0,545,88,0,0,0,0
jduff,"Ottawa, Ontario",135,56,2,264,75,0,1,0,4
gpaul,"South Africa, Stellenbosch",38,5,0,279,113,0,0,0,0
pablete,"San Francisco, CA",82,92,0,750,100,1,0,1,4
mokolabs,"San Diego, CA",64,36,1,1096,132,11,1,1,13
awilliam,,107,0,2,299,103,4,0,0,2
dysinger,Nearby,243,12,0,518,78,19,3,3,5
intabulas,"Eagle, ID",71,48,0,189,22,2,0,0,3
avalade,United States,24,11,1,63,18,0,0,0,0
ljsc,"Washington, DC",36,19,0,33,16,0,0,0,1
djdarkbeat,"Boise, Idaho",34,174,2,28,10,0,0,0,0
yrashk,"Comox, BC, Canada",746,604,7,3187,608,189,40,2,8
famulus,,35,1,0,60,14,2,0,0,2
rks,"Norwood, MA",21,12,2,3,1,18,4,0,19
chriskaukis,"Minneapolis, MN",20,3,0,0,0,0,0,0,0
caffo,,327,0,0,393,49,9,2,0,6
timperrett,"San Francisco, CA",221,16,1,1253,310,0,0,0,0
voodootikigod,"Reston, VA",710,115,2,8120,1497,0,0,0,0
kwe,"Wales, UK",25,23,0,68,9,5,0,0,4
bernd,Hamburg/Germany,150,35,1,1067,282,84,59,5,5
cblackburn,"Kansas City, USA",6,2,0,1,0,0,0,0,0
kunstreich,Berlin,20,12,0,408,54,0,0,0,0
emanuel,"Braga, Portugal",39,44,1,6,1,0,0,0,0
cdwillie76,,13,6,1,10,2,0,0,0,3
mando,"Austin, TX",61,49,2,68,14,0,0,0,0
zh,JAPAN,162,60,0,522,206,8,7,0,18
brandon-beacher,"Atlanta, GA",38,45,0,577,21,0,0,0,0
eric,"Seattle, WA",252,42,2,5640,954,5,0,3,8
iwarshak,"San Antonio, TX",41,6,0,251,92,1,2,1,4
sudara,"Vienna, Austria",271,14,1,2530,324,58,20,12,17
choonkeat,Singapore,182,20,0,787,112,44,26,4,5
cbowns,West Coast (keyboard and/or trailhead),91,40,1,20592,2267,0,0,0,1
aussiegeek,"Melbourne, Australia",65,0,1,231,81,1,0,0,2
zacheryph,"Davenport, IA",42,33,1,56,100,64,2,3,11
dustym,"Portland, ME",44,20,0,0,0,0,0,0,0
benjamin,"Melbourne, Australia",23,3,0,24,5,0,0,0,0
