用户名,国家,关注者数,关注中,所属组织数量,Star 数,Fork 数,PushEvent,PullRequestEvent,IssuesEvent,参与过的仓库数量
ckhsponge,"San Francisco, CA",16,3,0,96,19,13,2,3,7
fd,Belgium,122,70,5,352,91,3,1,0,6
daaku,,501,159,0,798,211,43,23,2,40
pfig,"London, UK",57,33,0,109,54,0,0,0,0
natedaiger,Los Angeles,7,0,1,297,35,0,0,0,3
probablycorey,San Francisco,752,2,3,3422,869,0,0,0,1
ymendel,,220,1,3,396,53,16,0,0,6
jmhodges,San Francisco,495,30,0,4243,701,60,57,3,9
nickel,"Sevilla, España.",44,15,0,0,0,2,0,0,1
buru,"Kyiv, Ukraine",9,6,0,18,12,0,0,0,10
wdperson,Ohio,23,5,0,59,8,0,0,0,0
chromakey-io,"Portland, OR",26,2,0,49,6,0,0,0,0
jstetser,,5,0,0,6,0,0,0,0,0
ianloic,"Alameda, California",133,42,0,161,35,0,0,1,1
bansalakhil,"New Delhi, India",22,5,0,127,50,0,0,0,1
jesseproudman,"Seattle, WA",42,1,0,44,21,0,0,0,0
h-lame,"London, UK",85,0,3,177,131,6,6,0,6
emilevdb,,7,1,0,0,0,0,0,0,0
mdub,"Melbourne, AU",100,15,0,3352,485,6,0,2,7
martinjandrews,"Melbourne, Australia",37,0,1,35,49,0,0,0,0
wpiekutowski,"Białystok, Poland",27,5,1,19,1,17,10,0,11
lukeredpath,"Colchester, UK",570,16,0,2739,461,2,0,1,6
andykent,"London, England",86,2,2,517,70,7,2,2,19
codehugger,Iceland,16,5,1,20,6,2,0,0,4
aemadrid,"Salt Lake City, UT",23,3,0,131,46,0,0,0,0
mulder,"Waterloo, Ontario",34,17,0,19,3,0,0,0,0
jeremyboles,,26,0,2,6,2,0,0,0,0
moorbrook,CA,7,1,0,0,0,0,0,0,3
humandoing,"Comox, BC",15,1,0,2,0,2,0,0,7
george,"Texas, US",60,11,1,26,3,0,0,0,1
dramsay,,17,0,0,69,57,0,0,0,1
jonmagic,San Mateo California,462,55,1,9123,938,25,10,0,17
zpinter,"Nashville, TN",20,1,0,61,12,0,0,0,0
banderson623,"Rocklin, CA",55,49,0,270,42,0,0,0,1
bigethan,"San Francisco, ca",23,3,0,37,12,0,0,0,2
